,Oznaka,Ime_podjetja,Cena,Sprememba_cene,Sprememba_v_odstotkih,PE_razmerje,Stevilo_delnic,Sprememba_do_danes
0,FLWS,1-800 FLOWERS COM,13.64,-0.16,-1.16,24.8,0.004785,-5.93
1,SRCE,1ST SOURCE CORP,50.71,-0.08,-0.16,14.3,0.000322,-2.26
2,AHC,A H BELO CORP,2.9,0.009000000000000001,0.31,4.9,0.000275,2.84
3,AAON,AAON INC,50.85,0.84,1.68,53.0,0.00095,2.91
4,AIR,AAR CORP,46.78,0.01,0.02,17.9,0.001621,3.73
5,ABMD,ABIOMED INC,183.6,4.91,2.75,38.3,0.009758,7.63
6,ABM,ABM INDUSTRIES INC,38.72,0.32,0.83,20.3,0.002251,2.68
7,AXAS,ABRAXAS PETE CORP,0.35,-0.0045,-1.29,1.0,0.011,-1.71
8,ACTG,ACACIA RESEARCH CORP,2.7,0.0,0.0,0.0,0.000709,1.5
9,ACHC,ACADIA HEALTHCARE CO,33.41,-0.05,-0.15,0.0,0.0037619999999999997,0.57
10,ACAD,ACADIA PHARMACEUTICALS,45.58,1.17,2.62,0.0,0.017,6.53
11,AKR,ACADIA REALTY TRUST,25.01,-0.27,-1.07,53.2,0.007312000000000001,-3.55
12,AXDX,ACCELERATE DIAGNOSTICS,18.24,0.33,1.84,0.0,0.001704,7.93
13,ACCO,ACCO BRANDS CORP,8.69,-0.15,-1.7,9.1,0.003768,-7.16
14,ARAY,ACCURAY INC,2.61,-0.04,-1.51,0.0,0.0037840000000000005,-7.45
15,FLWS,1-800 FLOWERS COM,13.64,-0.16,-1.16,24.8,0.004785,-5.93
16,SRCE,1ST SOURCE CORP,50.71,-0.08,-0.16,14.3,0.000322,-2.26
17,AHC,A H BELO CORP,2.9,0.009000000000000001,0.31,4.9,0.000275,2.84
18,AAON,AAON INC,50.85,0.84,1.68,53.0,0.00095,2.91
19,AIR,AAR CORP,46.78,0.01,0.02,17.9,0.001621,3.73
20,ABMD,ABIOMED INC,183.6,4.91,2.75,38.3,0.009758,7.63
21,ABM,ABM INDUSTRIES INC,38.72,0.32,0.83,20.3,0.002251,2.68
22,AXAS,ABRAXAS PETE CORP,0.35,-0.0045,-1.29,1.0,0.011,-1.71
23,ACTG,ACACIA RESEARCH CORP,2.7,0.0,0.0,0.0,0.000709,1.5
24,ACHC,ACADIA HEALTHCARE CO,33.41,-0.05,-0.15,0.0,0.0037619999999999997,0.57
25,ACAD,ACADIA PHARMACEUTICALS,45.58,1.17,2.62,0.0,0.017,6.53
26,AKR,ACADIA REALTY TRUST,25.01,-0.27,-1.07,53.2,0.007312000000000001,-3.55
27,AXDX,ACCELERATE DIAGNOSTICS,18.24,0.33,1.84,0.0,0.001704,7.93
28,ACCO,ACCO BRANDS CORP,8.69,-0.15,-1.7,9.1,0.003768,-7.16
29,ARAY,ACCURAY INC,2.61,-0.04,-1.51,0.0,0.0037840000000000005,-7.45
30,ACRX,ACELRX PHARMACEUTICALS,1.97,-0.06,-2.96,0.0,0.009119,-6.64
31,ACHN,ACHILLION PHARM,6.23,0.01,0.16,0.0,0.022,3.32
32,ACIW,ACI WORLDWIDE INC,38.93,0.2,0.52,45.8,0.004678,2.76
33,ACOR,ACORDA THERAPEUTICS INC,2.28,0.02,0.88,0.0,0.019,11.76
34,AYI,ACUITY BRANDS INC,123.42,-19.7,-13.76,14.9,0.024,-10.57
35,ADES,ADA ES INC,10.89,-0.12,-1.09,6.1,0.001099,3.71
36,ADUS,ADDUS HOMECARE CORP,99.02,1.76,1.81,66.0,0.000951,1.85
37,ADTN,ADTRAN INC,9.79,-0.145,-1.46,0.0,0.002468,-1.06
38,AEIS,ADVANCED ENERGY INDS IN,71.5,0.66,0.93,41.8,0.002216,0.42
39,AEGN,AEGION CORP,21.99,0.3,1.38,0.0,0.000926,-1.7
40,AVAV,AEROVIRONMENT INC,69.71,1.15,1.68,43.0,0.002718,12.91
41,MITT,AG MORTGAGE INVT TR INC,15.62,0.08,0.51,,0.001442,1.3
42,AGYS,AGILYSYS INC,25.77,0.0,0.0,0.0,0.00109,1.42
43,ADC,AGREE REALTY CORP,69.6,-0.27,-0.39,39.3,0.006729000000000001,-0.81
44,ATSG,AIR TRANSPORT SERVICES,22.9,-0.45,-1.93,37.5,0.00198,-2.39
45,AYR,AIRCASTLE LTD,32.07,0.02,0.06,11.5,0.003754,0.19
46,AKS,AK STEEL HOLDING CORP,3.05,-0.1,-3.17,9.5,0.08,-7.29
47,AKRX,AKORN INC,1.27,0.02,1.6,0.0,0.02,-15.33
48,ALG,ALAMO GROUP INC,125.81,0.72,0.58,21.2,0.001034,0.21
49,AIN,ALBANY INTERNATIONAL,76.7,0.6,0.79,20.5,0.0017050000000000001,1.03
50,ALEX,ALEXANDER & BALDWIN INC,21.7,0.02,0.09,0.0,0.004204,3.53
51,ALX,ALEXANDERS INC,334.91,4.01,1.21,30.8,0.00010400000000000001,1.38
52,ALCO,ALICO INC,35.5,-0.68,-1.88,7.0,0.00016999999999999999,-0.92
53,ALGN,ALIGN TECHNOLOGY INC,296.54,10.54,3.69,56.9,0.013,6.27
54,ALIM,ALIMERA SCIENCES INC,6.56,-0.05,-0.76,0.0,0.000886,-13.46
55,ALGT,ALLEGIANT TRAVEL CO,175.14,1.4,0.81,13.4,0.001284,0.63
56,ALE,ALLETE INC,80.95,0.72,0.9,21.2,0.0017870000000000002,-0.27
57,AIQ,ALLIANCE HEALTHCARE SVC,18.65,0.215,1.17,,0.000405,4.16
58,ALNY,ALNYLAM PHARMACEUTICALS,118.06,2.59,2.24,0.0,0.0060409999999999995,2.51
59,AOSL,ALPHA & OMEGA SEMICON,13.57,0.205,1.53,678.5,0.000715,-0.37
60,ATEC,ALPHATEC HOLDINGS,6.65,-0.09,-1.34,0.0,0.002328,-6.27
61,RESI,ALTISOURCE RESIDENTIAL,12.3,-0.12,-0.97,0.0,0.001796,-0.32
62,AIMC,ALTRA HOLDINGS INC,36.46,0.13,0.36,39.2,0.003761,0.69
63,AMAG,AMAG PHARMACEUTICALS IN,12.31,-0.36,-2.84,0.0,0.026,1.11
64,AMBC,AMBAC FINL GROUP INC,21.5,-0.04,-0.19,0.0,0.001666,-0.32
65,AMBA,AMBARELLA INC,62.76,-1.83,-2.83,0.0,0.009156999999999998,3.63
66,AMED,AMEDISYS INC,172.66,0.83,0.48,44.8,0.001832,3.44
67,APEI,AMER PUBLIC EDUCATION,26.79,-0.34,-1.25,33.5,0.00041500000000000006,-2.19
68,AMRC,AMERESCO INC,19.58,0.35,1.82,27.6,0.002778,11.89
69,AAT,AMERICAN ASSETS TRST IN,45.4,-0.08,-0.18,59.0,0.002314,-1.09
70,AXL,AMERICAN AXLE & MFG,9.51,-0.13,-1.35,0.0,0.014,-11.62
71,AEL,AMERICAN EQUITY INVST,30.33,0.31,1.03,34.9,0.004326,1.34
72,AMNB,AMERICAN NATL BANKSHARE,38.31,-0.32,-0.83,20.5,0.00020299999999999997,-3.18
73,AWR,AMERICAN STATES WATER C,83.91,0.32,0.38,38.1,0.0030670000000000003,-3.15
74,AMSC,AMERICAN SUPERCONDUCTOR,7.4,-0.01,-0.13,370.0,0.0018579999999999998,-5.73
75,AVD,AMERICAN VANGUARD CORP,18.4,-0.11,-0.59,31.2,0.001042,-5.5
76,AMWD,AMERICAN WOODMARK CORP,107.39,0.58,0.54,20.4,0.000833,2.76
77,CRMT,AMERICAS CAR-MART INC,106.81,-1.66,-1.53,13.6,0.000612,-2.6
78,ABCB,AMERIS BANCORP,42.72,0.07,0.16,15.4,0.002151,0.42
79,AMSF,AMERISAFE INC,64.89,0.07,0.11,16.2,0.0005269999999999999,-1.73
80,ATLO,AMES NATL CORP,27.4,0.18,0.66,14.8,6.8e-05,-2.35
81,FOLD,AMICUS THERAPEUTICS INC,9.67,0.21,2.22,0.0,0.051,-0.72
82,AMKR,AMKOR TECHNOLOGY INC,12.93,-0.12,-0.92,61.6,0.008776,-0.54
83,AMPE,AMPIO PHARMACEUTICALS,0.69,-0.03,-4.17,0.0,0.012,18.34
84,AMRS,AMYRIS INC,2.94,-0.11,-3.61,0.0,0.017,-4.85
85,ANDE,ANDERSONS INC,24.93,-0.21,-0.84,20.9,0.0017420000000000003,-1.38
86,ANGI,ANGIES LIST INC,9.06,0.0,0.0,64.7,0.018,6.97
87,ANGO,ANGIODYNAMICS INC,15.05,-0.29,-1.89,0.0,0.005586,-6.0
88,ANIK,ANIKA THERAPEUTICS INC,50.13,-1.76,-3.39,23.3,0.0015710000000000001,-3.32
89,AXE,ANIXTER INTERNATIONAL,98.79,2.38,2.47,16.6,0.018,7.26
90,ATRS,ANTARES PHARMA INC,4.38,0.11,2.58,0.0,0.017,-6.81
91,ANH,ANWORTH MORTGAGE ASSET,3.52,-0.02,-0.56,0.0,0.0037939999999999996,0.0
92,APOG,APOGEE ENTERPRISES INC,33.75,0.65,1.96,20.2,0.0030989999999999998,3.85
93,ARI,APOLLO COMMERCIAL RE,18.13,0.1,0.55,13.9,0.011,-0.87
94,AINV,APOLLO INVESTMENT CORP,17.49,0.0,0.0,19.7,0.005295,0.17
95,AIT,APPLIED INDUSTRIAL TECH,65.5,-0.35,-0.53,19.0,0.002212,-1.78
96,ARC,ARC DOCUMENT SOLUTIONS,1.32,-0.06,-4.35,14.7,0.0008939999999999999,-5.04
97,ARNA,ARENA PHARMACEUTICALS,46.27,0.41,0.89,4.3,0.00307,1.87
98,ACRE,ARES COML REAL ESTATE,15.99,0.13,0.82,12.3,0.004105,0.95
99,AGX,ARGAN INC,40.96,-0.19,-0.46,39.1,0.0008550000000000001,2.04
100,AHH,ARMADA HOFFLER PPTYS IN,18.11,0.01,0.06,47.7,0.001431,-1.31
101,ARR,ARMOUR RESIDENTIAL REIT,18.6,0.22,1.2,0.0,0.008473,4.09
102,ARQL,ARQULE INC,20.0,-0.02,-0.1,0.0,0.028,0.2
103,AROW,ARROW FINANCIAL CORP,37.17,-0.13,-0.35,15.3,0.000188,-1.67
104,ABG,ASBURY AUTOMOTIVE GROUP,100.6,-2.53,-2.45,10.7,0.002963,-10.01
105,AHT,ASHFORD HOSPITALITY,2.67,0.0,0.0,0.0,0.003229,-4.3
106,AZPN,ASPEN TECHNOLOGY INC,136.2,5.06,3.86,35.4,0.007325,12.63
107,ASTE,ASTEC INDUSTRIES INC,43.01,0.06,0.14,0.0,0.001401,2.4
108,ATRO,ASTRONICS CORP,28.33,0.24,0.85,9.5,0.0015869999999999999,1.36
109,ATNI,ATLANTIC TELE-NETWORK,56.99,-0.15,-0.26,57.6,0.000589,2.89
110,AAWW,ATLAS AIR WORLDWIDE HLD,26.88,-0.28,-1.03,6.3,0.0017649999999999999,-2.5
111,ATRC,ATRICURE INC,33.71,1.05,3.21,0.0,0.001234,3.69
112,ATRI,ATRION CORP,716.5,1.29,0.18,36.6,0.0001,-4.66
113,AVEO,AVEO PHARMACEUTICALS IN,0.69,0.0059,0.87,5.3,0.008843,9.92
114,AVNW,AVIAT NETWORKS INC,13.96,0.015,0.11,7.4,7.6e-05,-0.64
115,AVID,AVID TECHNOLOGY INC,8.32,0.06,0.73,0.0,0.001188,-3.03
116,AVA,AVISTA CORP,46.89,0.05,0.11,16.1,0.008981999999999999,-2.5
117,ACLS,AXCELIS TECHNOLOGIES IN,24.65,-0.11,-0.44,52.4,0.001959,2.3
118,AZZ,AZZ INC,47.04,1.82,4.02,20.2,0.00434,2.37
119,BGS,B & G FOODS INC,16.35,-0.16,-0.97,6.1,0.014,-8.81
120,BMI,BADGER METER INC,63.56,-0.51,-0.8,40.5,0.0022329999999999997,-2.11
121,BKR,BAKER MICHAEL CORP,25.04,0.27,1.09,55.6,0.035,-2.3
122,BCPC,BALCHEM CORP,102.28,-1.1,-1.06,41.7,0.0018679999999999999,0.64
123,BANF,BANCFIRST CORP,61.85,0.0,0.0,15.6,0.000308,-0.94
124,BLX,BANCO LATINOAMERICANO,22.17,0.17,0.77,10.4,0.001065,3.7
125,TBBK,BANCORP INC,12.12,-0.14,-1.14,12.8,0.002143,-6.55
126,BXS,BANCORPSOUTH INC,30.76,-0.06,-0.19,14.4,0.002957,-2.07
127,BMRC,BANK OF MARIN BANCORP,44.07,-0.36,-0.81,17.6,0.000113,-2.18
128,BFIN,BANKFINANCIAL CORP,12.9,0.08,0.62,13.4,0.000139,-1.38
129,BANR,BANNER CORP,54.8,0.41,0.75,12.7,0.0022,-1.4
130,BHB,BAR HBR BANKSHARES,24.43,-0.07,-0.29,14.6,0.0002,-3.78
131,BBSI,BARRETT BUSINESS SERVIC,88.07,0.31,0.35,12.6,0.000465,-2.64
132,BSET,BASSETT FURNITURE INDS,16.25,-0.04,-0.25,33.2,0.000246,-2.58
133,BBX,BBX CAPITAL CORPORATION,4.26,-0.06,-1.39,17.0,0.000819,-10.69
134,BECN,BEACON ROOFING SUPPLY,34.61,-0.5,-1.42,0.0,0.004484,8.22
135,BBGI,BEASLEY BROADCAST GROUP,3.2,-0.11,-3.32,8.2,0.00041799999999999997,3.56
136,BZH,BEAZER HOMES USA INC,14.53,0.23,1.61,0.0,0.0022949999999999997,2.83
137,BDC,BELDEN INC,54.51,0.62,1.15,0.0,0.0015400000000000001,-0.89
138,BHE,BENCHMARK ELECTRONICS,34.63,0.12,0.35,25.5,0.002439,0.79
139,BHLB,BERKSHIRE HILLS BANCORP,31.87,0.02,0.06,18.7,0.001127,-3.07
140,BERY,BERRY PLASTICS GROUP,44.64,-0.13,-0.29,14.9,0.014,-6.0
141,BGCP,BGC PARTNERS INC,5.78,0.01,0.17,41.3,0.013,-2.69
142,BGFV,BIG 5 SPORTING GOODS,3.16,-0.02,-0.63,22.6,0.0011560000000000001,5.33
143,BDSI,BIODELIVERY SCIENCES,5.89,0.2,3.51,0.0,0.018,-6.8
144,BIOL,BIOLASE INC,0.6,0.011000000000000001,1.86,0.0,0.0011330000000000001,8.74
145,BIOS,BIOSCRIP INC,4.13,0.04,0.98,0.0,0.019,10.72
146,BJRI,BJS RESTAURANTS INC,39.99,0.49,1.24,20.5,0.003329,5.35
147,BKH,BLACK HILLS CORP,76.86,0.77,1.01,20.9,0.002677,-2.14
148,BLKB,BLACKBAUD INC,79.34,1.23,1.57,193.5,0.002774,-0.33
149,BKCC,BLACKROCK KELSO CAP COR,4.99,0.04,0.81,0.0,0.005564,0.5
150,BLMN,BLOOMIN' BRANDS INC,22.25,0.13,0.59,17.7,0.008772,0.82
151,BCOR,BLUCORA INC,25.24,-0.52,-2.02,105.2,0.004443,-3.44
152,BXC,BLUELINX HOLDINGS INC,14.39,-0.61,-4.07,0.0,0.001058,0.98
153,WIFI,BOINGO WIRELESS INC,10.86,0.27,2.55,0.0,0.006075,-0.82
154,BCC,BOISE CASCADE COMPANY,37.87,1.5,4.12,0.0,0.003507,3.67
155,BCEI,BONANZA CREEK ENER INC,22.63,-0.15,-0.66,2.7,0.00206,-3.04
156,SAM,BOSTON BEER INC,369.48,-3.9,-1.04,37.2,0.001049,-2.22
157,BPFH,BOSTON PRIVATE FINANCIA,12.18,0.02,0.16,10.8,0.003518,1.25
158,EPAY,BOTTOMLINE TECHNOLOGIES,53.81,-0.255,-0.47,244.6,0.001521,0.38
159,BYD,BOYD GAMING CORP,29.61,-0.18,-0.6,21.6,0.003498,-1.1
160,BRC,BRADY CORP,57.02,0.19,0.33,475.2,0.0017699999999999999,-0.42
161,BDGE,BRIDGE BANCORP INC,32.31,-0.2,-0.62,12.6,0.000207,-3.64
162,BGG,BRIGGS & STRATTON CO,5.32,-0.23,-4.14,0.0,0.008154,-20.12
163,BFAM,BRIGHT HORIZON FAMILY,160.74,2.24,1.41,53.2,0.0021969999999999997,6.95
164,BCOV,BRIGHTCOVE INC,8.89,0.055,0.62,0.0,0.000754,2.3
165,BCO,BRINKS CO,95.62,1.71,1.82,72.4,0.003184,5.45
166,BRKL,BROOKLINE BANCORP INC,16.04,-0.045,-0.28,14.9,0.002516,-2.55
167,BRKS,BROOKS AUTOMATION INC,42.13,0.71,1.71,324.1,0.005756,0.41
168,BMTC,BRYN MAWR BANK CORP,40.5,-0.19,-0.47,13.6,0.000794,-1.79
169,BKI,BUCKEYE TECHNOLOGIES IN,64.74,0.19,0.29,68.9,0.008815,0.4
170,BKE,BUCKLE INC,25.21,-1.35,-5.08,12.5,0.011,-6.77
171,BLDR,BUILDERS FIRSTSOURCE IN,26.29,0.1,0.38,13.2,0.00854,3.46
172,CFFI,C & F FINANCIAL CORP,52.81,0.5,0.96,10.0,7.02e-06,-4.55
173,CCMP,CABOT MICROELECTRONICS,151.28,2.87,1.93,112.1,0.0026060000000000002,4.82
174,CACI,CACI INTERNATIONAL INC,262.57,3.01,1.16,26.2,0.0025689999999999997,5.03
175,CZR,CAESARS ENTMT CORP,13.64,0.0,0.0,0.0,0.193,0.29
176,CALM,CAL MAINE FOODS INC,38.0,-0.025,-0.07,0.0,0.005622,-11.11
177,CAMP,CALAMP CORP,9.46,0.17,1.83,0.0,0.0046229999999999995,-1.25
178,CVGW,CALAVO GROWERS INC,82.37,-0.54,-0.65,39.6,0.00228,-9.07
179,CCC,CALGON CARBON CORP,17.25,0.18,1.05,0.0,0.015,2.68
180,CWT,CALIFORNIA WTR SVC GRP,49.73,0.31,0.63,35.5,0.002471,-3.55
181,CALX,CALIX INC,8.28,0.12,1.47,0.0,0.001567,3.5
182,ELY,CALLAWAY GOLF CO,21.98,0.34,1.57,26.2,0.01,3.68
183,CPE,CALLON PETROLEUM CO,4.36,-0.06,-1.36,4.2,0.225,-9.73
184,CAC,CAMDEN NATIONAL CORP,45.6,-0.4,-0.87,12.7,0.000404,-1.0
185,CCBG,CAPITAL CITY BANK GROUP,29.33,-0.29,-0.98,16.1,0.00025,-3.84
186,CSU,CAPITAL SENIOR LIVING,3.16,0.0,0.0,0.0,0.000795,2.27
187,CSWC,CAPITAL SOUTHWEST CORP,20.76,0.11,0.53,14.9,0.000798,-0.24
188,CFFN,CAPITOL FEDERAL FINL IN,13.66,0.04,0.29,20.1,0.002153,-0.51
189,CMO,CAPSTEAD MORTGAGE CORP,7.92,-0.06,-0.75,0.0,0.003268,0.0
190,CPST,CAPSTONE TURBINE CORP,3.05,-0.15,-4.69,0.0,0.0010689999999999999,-0.33
191,CSII,CARDIOVASCULAR SYS INC,50.16,1.19,2.43,0.0,0.00355,3.23
192,CATM,CARDTRONICS INC,43.24,0.51,1.19,67.6,0.002826,-3.16
193,CSV,CARRIAGE SERVICES INC,25.08,-0.2,-0.79,50.2,0.000547,-2.03
194,TAST,CARROLS RESTAURANT GRP,6.75,0.07,1.05,0.0,0.004268,-4.26
195,CWST,CASELLA WASTE SYSTEMS,47.79,0.39,0.82,298.7,0.001416,3.82
196,CASY,CASEYS GENERAL STORES,164.21,1.18,0.72,25.9,0.002418,3.28
197,CASS,CASS INFORMATION SYSTEM,56.48,-0.28,-0.49,26.7,0.000389,-2.18
198,CATY,CATHAY GENERAL BANCORP,37.65,0.1,0.27,10.9,0.0017640000000000002,-1.05
199,CATO,CATO CORP,16.45,-1.13,-6.43,11.3,0.001848,-5.46
200,CVCO,CAVCO INDUSTRIES INC,197.93,0.89,0.45,24.3,0.000528,1.31
201,CBZ,CBIZ INC,27.1,-0.07,-0.26,21.3,0.001585,0.52
202,CECE,CECO ENVIRONMENTAL CORP,7.82,0.08,1.03,27.9,0.00047300000000000006,2.09
203,CDR,CEDAR REALTY TRUST INC,2.85,-0.05,-1.72,57.1,0.003617,-3.39
204,CTIC,CELL THERAPEUTICS INC,1.44,0.05,3.6,0.0,0.002641,-8.86
205,CLDX,CELLDEX THERAPEUTICS IN,2.52,-0.07,-2.7,0.0,0.00116,13.0
206,CNC,CENTENE CORP,64.16,-0.21,-0.33,19.9,0.025,2.05
207,CSFL,CENTERSTATE BANKS INC,24.13,-0.1,-0.41,13.2,0.002994,-3.4
208,CETV,CENTRAL EUROPEAN MEDIA,4.47,0.0,0.0,13.5,0.001356,-1.32
209,CPF,CENTRAL PACIFIC FINL,28.83,-0.06,-0.21,13.9,0.002948,-2.54
210,CENX,CENTURY ALUMINUM CO,7.06,-0.44,-5.87,0.0,0.03,-6.05
211,CERS,CERUS CORP,4.6,0.08,1.77,0.0,0.006241,9.0
212,CEVA,CEVA INC,27.62,0.24,0.88,0.0,0.0010789999999999999,2.45
213,ECOM,CHANNELADVISOR CORP,9.4,-0.09,-0.95,0.0,0.0009939999999999999,3.98
214,GTLS,CHART INDUSTRIES INC,69.54,0.45,0.65,45.5,0.002815,3.04
215,CCF,CHASE CORP,103.17,-5.27,-4.86,31.3,0.000199,-12.92
216,CLDT,CHATHAM LODGING TR,17.58,-0.07,-0.4,40.9,0.0018059999999999999,-4.14
217,CAKE,CHEESECAKE FACTORY INC,39.74,0.1,0.25,18.8,0.00343,2.26
218,CHEF,CHEFS' WHAREHOUSE INC,38.7,-0.21,-0.54,51.6,0.002525,1.55
219,CHE,CHEMED CORPORATION,455.79,7.66,1.71,36.2,0.000522,3.76
220,CCXI,CHEMOCENTRYX INC,38.47,1.68,4.57,0.0,0.008998,-2.73
221,CHMG,CHEMUNG FINL CORP,42.35,-0.03,-0.07,12.0,5.6999999999999996e-05,-0.35
222,CPK,CHESAPEAKE UTILITIES,91.46,0.19,0.21,24.5,0.0005009999999999999,-4.56
223,PLCE,CHILDRENS PLACE RETAIL,65.16,0.47,0.73,16.8,0.007499,4.22
224,CMRX,CHIMERIX INC,2.15,-0.02,-0.92,0.0,0.004422,5.91
225,CHDN,CHURCHILL DOWNS INC,137.19,1.57,1.16,38.9,0.001594,-0.01
226,CHUY,CHUY'S HOLDINGS INC,25.91,-0.19,-0.73,39.9,0.0008320000000000001,-0.04
227,CBB,CINCINNATI BELL INC,10.68,0.14,1.33,0.0,0.007102,2.01
