,Oznaka,Ime_podjetja,Cena,Sprememba_cene,Sprememba_v_odstotkih,PE_razmerje,Stevilo_delnic,Sprememba_do_danes
228,CIR,CIRCOR INTERNATIONAL IN,44.27,0.1,0.23,0.0,0.0006349999999999999,-4.26
229,CRUS,CIRRUS LOGIC INC,85.34,1.05,1.25,44.0,0.0054280000000000005,3.56
230,CTRN,CITI TRENDS INC,22.06,-0.33,-1.47,18.7,0.000709,-4.58
231,CZNC,CITIZENS & NORTHERN COR,27.98,0.62,2.27,18.4,0.00010700000000000001,-0.96
232,CIA,CITIZENS INC,6.77,-0.04,-0.59,0.0,0.000411,0.3
233,CHCO,CITY HOLDING CO,81.59,-0.12,-0.15,17.3,0.000439,-0.44
234,CLNE,CLEAN ENERGY FUELS CORP,2.69,0.08,3.07,0.0,0.007193000000000001,14.96
235,CLW,CLEARWATER PAPER CORP,18.93,-0.38,-1.97,0.0,0.0013189999999999999,-11.38
236,CLVS,CLOVIS ONCOLOGY INC,9.98,-0.79,-7.38,0.0,0.116,-4.27
237,CCNE,CNB FINL CORP PA,31.6,-0.29,-0.91,12.5,0.00021400000000000002,-3.3
238,CNO,CNO FINANCIAL GROUP,18.02,0.08,0.45,18.0,0.009428,-0.61
239,COKE,COCA COLA BOTTLING,276.46,-0.8,-0.29,0.0,0.00038500000000000003,-2.67
240,CDE,COEUR MINING INC,6.4,0.11,1.75,0.0,0.091,-20.79
241,CCOI,COGENT COMMUNICATIONS,70.5,1.26,1.82,87.0,0.0048200000000000005,7.13
242,CGNX,COGNEX CORP,56.07,0.53,0.95,57.8,0.006156,0.05
243,CNS,COHEN & STEERS INC,62.99,0.85,1.37,24.6,0.001583,0.37
244,COHR,COHERENT INC,172.45,-0.47,-0.27,77.7,0.002432,3.67
245,COHU,COHU INC,23.33,-0.07,-0.3,0.0,0.0018679999999999999,2.1
246,CSTR,COINSTAR INC,16.19,-0.16,-0.98,20.5,0.000204,-2.76
247,CLNY,COLONY FINANCIAL INC,4.84,0.01,0.21,0.0,0.016,1.89
248,COLB,COLUMBIA BKG SYSTEM INC,39.19,-0.31,-0.78,14.8,0.002442,-3.67
249,COLM,COLUMBIA SPORTSWEAR CO,99.75,-0.62,-0.62,20.9,0.003075,-0.44
250,CMCO,COLUMBUS MCKINNON CORP,38.65,-0.47,-1.2,17.0,0.0028120000000000003,-3.45
251,FIX,COMFORT SYSTEMS USA INC,48.37,-0.35,-0.72,17.1,0.0017829999999999999,-2.97
252,CMC,COMMERCIAL METALS CO,22.8,-0.37,-1.6,10.4,0.021,2.38
253,CVGI,COMMERCIAL VEH GROUP IN,6.0,-0.16,-2.6,5.2,0.001338,-5.51
254,CBU,COMMUNITY BANK SYSTEMS,71.21,0.5,0.71,22.3,0.0033909999999999995,0.38
255,CTBI,COMMUNITY TRUST BANCORP,46.04,-0.1,-0.22,12.7,0.000251,-1.29
256,CVLT,COMMVAULT SYSTEMS INC,45.6,0.39,0.86,0.0,0.007001,2.15
257,CPSI,COMPUTER PROGRAMS & SYS,26.0,0.2,0.78,21.8,0.000901,-1.52
258,CTG,COMPUTER TASK GROUP INC,5.21,0.06,1.17,0.0,0.00014,0.58
259,CIX,COMPX INTERNATIONAL,15.2,0.2,1.33,12.4,6.44e-06,4.18
260,SCOR,COMSCORE INC,5.22,0.09,1.75,0.0,0.004007,5.67
261,CRK,COMSTOCK RESOURCES INC,7.81,-0.1,-1.26,0.0,0.004638000000000001,-5.1
262,CMTL,COMTECH TELECOMM,36.18,-0.02,-0.06,31.5,0.001091,1.94
263,CNMD,CONMED CORP,111.24,1.06,0.96,110.1,0.0020859999999999997,-0.53
264,CNOB,CONNECTONE BANCORP INC,25.46,-0.26,-1.01,12.5,0.000643,-1.01
265,CONN,CONNS INC,10.62,-0.39,-3.54,4.0,0.013,-14.29
266,CNSL,CONSOLIDATED COMM,4.0,0.08,2.04,0.0,0.008425,3.09
267,CTO,CONSOLIDATED TOMOKA LAN,61.5,0.23,0.38,10.2,0.00011100000000000001,1.96
268,CWCO,CONSOLIDATED WATER CO,16.22,-0.15,-0.92,27.0,0.000705,-0.49
269,CPSS,CONSUMER PORTFOLIO SVCS,3.42,0.0,0.0,8.0,6.499999999999999e-07,1.48
270,MCF,CONTANGO OIL & GAS CO,3.78,0.28,8.0,0.0,0.002744,3.0
271,CTB,COOPER TIRE & RUBBER CO,27.85,-0.33,-1.17,31.3,0.001973,-3.13
272,CORT,CORCEPT THERAPEUTICS IN,12.08,0.15,1.26,17.0,0.006554000000000001,-0.17
273,CORE,CORE MARK HOLDING CO IN,25.09,-0.63,-2.45,21.4,0.0018920000000000002,-7.72
274,COR,CORESITE REALTY CORP,111.04,0.06,0.05,53.4,0.0035340000000000002,-0.96
275,CSOD,CORNERSTONE ONDEMAND IN,59.3,-0.02,-0.03,0.0,0.003182,1.28
276,CRTX,CORNERSTONE THERAPEUTIC,47.9,4.76,11.03,0.0,0.002916,-14.68
277,CRVL,CORVEL CORP,91.73,0.88,0.97,35.7,0.000552,5.0
278,CSGP,COSTAR GROUP INC,629.69,4.31,0.69,74.2,0.00209,5.25
279,CUZ,COUSINS PROPERTIES INC,40.29,0.01,0.02,82.2,0.004009,-2.21
280,COWN,COWEN GROUP INC,16.55,0.01,0.06,29.6,0.001189,5.08
281,CRAI,CRA INTERNATIONAL INC,54.49,-0.3,-0.55,19.9,0.000236,0.04
282,CBRL,CRACKER BARREL STORE,154.93,-1.78,-1.14,17.0,0.002961,0.77
283,BREW,CRAFT BREW ALLIANCE,16.48,-0.02,-0.12,0.0,0.001538,-0.12
284,CACC,CREDIT ACCEP CORP MICH,432.86,-0.35,-0.08,12.8,0.001241,-2.14
285,CROX,CROCS INC,43.4,0.72,1.69,0.0,0.011,3.6
286,CCRN,CROSS COUNTRY HEALTHCAR,10.32,-0.21,-1.99,0.0,0.001204,-11.19
287,CRY,CRYOLIFE INC,28.1,0.1,0.36,702.5,0.001368,3.73
288,CSGS,CSG SYSTEMS INTL INC,51.84,0.71,1.39,20.8,0.001807,0.12
289,CSS,CSS INDUSTRIES INC,4.02,0.0,0.0,0.0,0.000226,-8.84
290,CTS,CTS CORP,30.16,-0.09,-0.3,22.8,0.00128,0.5
291,CUBE,CUBESMART,30.64,-0.37,-1.19,33.3,0.023,-2.67
292,CUB,CUBIC CORP,68.92,1.77,2.64,41.3,0.002163,8.42
293,CMLS,CUMULUS MEDIA INC,16.42,-0.04,-0.24,0.4,0.0007099999999999999,-6.55
294,CRIS,CURIS INC,1.68,0.01,0.6,0.0,0.000296,-1.18
295,CUTR,CUTERA INC,37.11,0.24,0.65,0.0,0.001155,3.63
296,CVBF,CVB FINANCIAL CORP,21.35,0.0,0.0,15.0,0.004786,-1.07
297,CONE,CYRUSONE INC,65.52,0.57,0.88,0.0,0.008234,0.14
298,CYTK,CYTOKINETICS INC,11.5,0.165,1.46,0.0,0.008364,8.34
299,DJCO,DAILY JOURNAL CORP,284.7,2.7,0.96,0.0,2.2e-05,-1.97
300,DAKT,DAKTRONICS INC,6.0,-0.045,-0.74,600.0,0.001091,-1.48
301,DAN,DANA HOLDING CORP,17.03,-0.07,-0.41,10.3,0.008512,-6.43
302,DAR,DARLING INTERNATIONAL,28.49,-0.09,-0.31,43.8,0.01,1.46
303,DWSN,DAWSON GEOPHYSICAL CO,2.62,0.02,0.77,0.0,0.000348,9.17
304,DENN,DENNYS CORP,20.48,0.0,0.0,11.6,0.0031899999999999997,3.02
305,DXLG,DESTINATION XL GRP INC,1.17,0.05,4.46,0.0,0.00047400000000000003,-8.59
306,DXCM,DEXCOM INC,239.27,6.04,2.59,0.0,0.009592,9.39
307,DHIL,DIAMOND HILL INVESTMENT,141.7,-0.49,-0.34,10.6,0.000198,0.88
308,FANG,DIAMONDBACK ENERGY INC,94.15,0.82,0.88,13.4,0.015,1.39
309,DRH,DIAMONDROCK HOSPITALITY,10.33,-0.1,-0.96,28.7,0.038,-6.77
310,DHX,DICE HOLDINGS INC,3.05,0.01,0.33,13.3,0.00101,1.33
311,DGII,DIGI INTL INC,17.31,-0.26,-1.48,49.5,0.005299,-2.31
312,DMRC,DIGIMARC CORPORATION,35.94,0.77,2.19,0.0,0.0009550000000000001,7.09
313,DRIV,DIGITAL RIVER INC,15.15,0.025,0.17,,0.00035099999999999997,2.39
314,DCOM,DIME CMNTY BANCSHARES,19.99,0.02,0.1,17.4,0.001093,-4.31
315,DIN,DINEEQUITY INC,84.78,-1.66,-1.92,14.8,0.002305,1.51
316,DIOD,DIODES INC,57.85,0.3,0.52,22.0,0.003624,2.63
317,DORM,DORMAN PRODUCTS INC,75.55,-0.27,-0.36,24.7,0.0009199999999999999,-0.22
318,PLOW,DOUGLAS DYNAMICS INC,56.04,0.12,0.21,25.0,0.000925,1.89
319,DSPG,DSP GROUP INC,15.92,0.16,1.02,0.0,0.0009710000000000001,1.14
320,DCO,DUCOMMUN INC,43.45,0.19,0.44,21.2,0.001004,-14.01
321,DXPE,DXP ENTERPRISES INC NEW,39.4,0.19,0.48,16.1,0.00043099999999999996,-1.03
322,BOOM,DYNAMIC MATERIALS CORP,44.85,1.06,2.42,12.3,0.001648,-0.2
323,DVAX,DYNAVAX TECHNOLOGIES,5.89,-0.25,-4.07,0.0,0.011,2.97
324,EGBN,EAGLE BANCORP INC,47.95,-0.12,-0.25,11.2,0.000998,-1.4
325,EGP,EASTGROUP PROPERTIES IN,130.8,0.51,0.39,53.4,0.001656,-1.41
326,EBIX,EBIX INC,32.42,-0.12,-0.37,11.9,0.0018559999999999998,-2.96
327,ECHO,ECHO GLOBAL LOGISTICS,20.9,0.12,0.58,27.9,0.0023989999999999997,0.97
328,EGAN,EGAIN CORPORATION,7.92,0.06,0.76,49.5,0.000648,0.0
329,EHTH,EHEALTH INC,94.42,-1.85,-1.92,230.3,0.004253,-1.73
330,EARN,ELLINGTON RESIDENTIAL,10.8,-0.06,-0.55,49.1,0.000583,-0.46
331,EME,EMCOR GROUP INC,86.5,1.71,2.02,15.5,0.002148,0.23
332,EBS,EMERGENT BIOSOLUTIONS,56.68,1.62,2.94,809.7,0.003034,5.06
333,EIG,EMPLOYERS HOLDINGS INC,42.24,0.06,0.14,9.2,0.0013779999999999999,1.17
334,ENTA,ENANTA PHARMACEUTICALS,60.33,-0.52,-0.85,27.3,0.002209,-2.35
335,ECPG,ENCORE CAPITAL GROUP IN,35.66,0.32,0.91,6.4,0.002165,0.85
336,WIRE,ENCORE WIRE CORP,56.83,-0.02,-0.04,16.4,0.001594,-0.99
337,ELGX,ENDOLOGIX INC,1.91,0.01,0.53,0.0,0.002634,20.89
338,ERII,ENERGY RECOVERY INC,9.82,0.01,0.1,39.3,0.001102,0.31
339,ENS,ENERSYS INC,74.79,-0.54,-0.72,18.1,0.001739,-0.05
340,EBF,ENNIS INC,21.26,-0.69,-3.14,14.7,0.0009710000000000001,-1.8
341,ENPH,ENPHASE ENERGY INC,31.59,0.59,1.9,87.8,0.065,20.9
342,NPO,ENPRO INDUSTRIES INC,67.73,0.95,1.42,102.6,0.000869,1.27
343,ENSG,ENSIGN GROUP INC,46.93,0.59,1.28,23.9,0.002113,3.43
344,ESGR,ENSTAR GROUP LIMITED,202.59,-1.24,-0.61,7.5,0.000529,-2.06
345,ENTG,ENTEGRIS INC,52.19,0.69,1.34,25.8,0.005698,4.19
346,ETM,ENTERCOM COMMUNICATIONS,4.36,-0.15,-3.33,0.0,0.006155,-6.03
347,EBTC,ENTERPRISE BANCORP INC,33.5,0.24,0.72,12.3,5.9999999999999995e-05,-1.09
348,EFSC,ENTERPRISE FINL SERVICE,48.18,0.12,0.25,13.9,0.000848,-0.06
349,EVC,ENTRAVISION COMM,2.42,-0.12,-4.72,0.0,0.002318,-7.63
350,ENV,ENVESTNET INC,73.63,0.65,0.89,0.0,0.0023,5.74
351,EPAM,EPAM SYSTEMS INC,223.29,1.91,0.86,52.0,0.001835,5.25
352,EPZM,EPIZYME INC,24.34,0.3,1.25,0.0,0.007061,-1.06
353,PLUS,EPLUS INC,84.74,-2.05,-2.36,17.3,0.000571,0.53
354,EPR,EPR PROPERTIES,70.15,-0.19,-0.27,27.1,0.00686,-0.69
355,ERA,ERA GROUP INC,9.71,-0.16,-1.62,0.0,0.000676,-4.52
356,ESE,ESCO TECHNOLOGIES INC,96.4,-0.66,-0.68,31.1,0.001297,4.22
357,ESSA,ESSA BANCORP INC,17.55,0.08,0.46,14.9,5.3e-05,3.54
358,ETH,ETHAN ALLEN INTERIORS,17.68,-0.56,-3.07,15.2,0.0029690000000000003,-7.24
359,EEFT,EURONET WORLDWIDE INC,161.3,3.18,2.01,29.4,0.004188,2.37
360,EVR,EVERCORE PARTNERS,75.11,-0.22,-0.29,9.3,0.004868,0.47
361,EVTC,EVERTEC INC,34.56,0.35,1.02,25.8,0.003543,1.53
362,EPM,EVOLUTION PETROLEUM COR,5.3,0.01,0.19,14.7,0.001269,-3.11
363,EXAS,EXACT SCIENCES CORP,103.55,2.3,2.27,0.0,0.022,11.97
364,EXEL,EXELIXIS INC,18.63,-0.32,-1.69,9.5,0.03,5.73
365,EXLS,EXLSERVICE HOLDINGS INC,70.5,0.0,0.0,48.6,0.002082,1.5
366,XONE,EXONE COMPANY,7.64,0.04,0.53,0.0,0.000462,2.41
367,EXPO,EXPONENT INC,69.45,0.62,0.9,47.6,0.001945,0.64
368,EXPR,EXPRESS INC,4.88,-0.21,-4.13,0.0,0.017,0.21
369,EXTR,EXTREME NETWORKS INC,7.37,-0.02,-0.27,0.0,0.008491,0.0
370,EZPW,EZCORP INC,6.39,-0.13,-1.99,127.8,0.0038280000000000002,-6.3
371,FICO,FAIR ISAAC CORP,401.51,10.18,2.6,63.3,0.002735,7.16
372,FARM,FARMER BROS CO,13.05,-0.72,-5.23,0.0,0.000669,-13.35
373,FARO,FARO TECHNOLOGIES INC,54.42,1.1,2.06,0.0,0.00116,8.08
374,FFG,FBL FINANCIAL GROUP INC,59.02,0.34,0.58,15.0,0.000143,0.15
375,AGM,FEDERAL AGRIC MTG CO,82.5,-0.46,-0.55,10.6,0.0005059999999999999,-1.2
376,FSS,FEDERAL SIGNAL CORP,33.36,0.3,0.91,18.5,0.003054,3.44
377,FOE,FERRO CORP,14.51,0.07,0.48,25.0,0.007121,-2.16
378,FDUS,FIDUS INVESTMENT CORP,15.1,0.06,0.4,9.2,0.0008439999999999999,1.75
379,FRGI,FIESTA RESTAURANT GROUP,10.48,-0.06,-0.57,0.0,0.002718,5.97
380,FISI,FINANCIAL INSTNS INC,31.68,0.01,0.03,12.1,0.000301,-1.31
381,FAF,FIRST AMERICAN FINL COR,58.96,0.69,1.18,11.6,0.007858,1.1
382,FNLC,FIRST BANCORP INC,30.0,-0.07,-0.23,12.9,0.000113,-0.76
383,FBNC,FIRST BANCORP NC,38.79,-0.21,-0.54,12.2,0.00040199999999999996,-2.81
384,FBP,FIRST BANCORP PR,10.57,0.04,0.38,10.0,0.018,-0.19
385,BUSE,FIRST BUSEY CORP,27.22,0.13,0.48,14.6,0.000965,-1.04
386,FCFS,FIRST CASH FINANCIAL,82.93,0.91,1.11,22.8,0.002019,2.85
387,FCBC,FIRST CMNTY BANCSHAR,30.34,0.27,0.9,12.5,0.00045599999999999997,-2.19
388,FCF,FIRST COMMONWLTH FINL,14.22,-0.05,-0.35,13.3,0.0033710000000000003,-2.0
389,FDEF,FIRST DEFIANCE FINANCIA,31.06,0.04,0.13,12.7,0.0005549999999999999,-1.37
390,FFBC,FIRST FINANCIAL BANCORP,24.97,-0.075,-0.3,12.0,0.0019260000000000002,-1.85
391,THFF,FIRST FINANCIAL CORP,43.96,-0.39,-0.88,12.1,0.000259,-3.85
392,FFIN,FIRST FINL BANKSHARES,34.55,0.04,0.12,29.0,0.001797,-1.57
393,FFNW,FIRST FINL NORTHWEST,14.89,0.08,0.54,15.4,5.1e-05,-0.33
394,FIBK,FIRST INTST BANCSYSTEM,41.16,-0.25,-0.6,15.3,0.0015630000000000002,-1.81
395,FLIC,FIRST LONG ISLAND CORP,23.89,-0.15,-0.62,14.2,0.000195,-4.74
396,FRME,FIRST MERCHANTS CORP,41.07,-0.11,-0.27,13.0,0.000736,-1.25
397,FMBI,FIRST MIDWEST BANCORP,22.77,0.02,0.09,13.1,0.005023,-1.26
398,SVVC,FIRSTHAND TECH VALUE,6.44,0.0121,0.19,0.0,0.000117,0.11
399,FIVE,FIVE BELOW,124.48,1.58,1.29,45.4,0.012,-2.64
400,FBC,FLAGSTAR BANCORP INC,38.48,0.0,0.0,10.3,0.002302,0.6
401,FLXS,FLEXSTEEL INDUSTRIES IN,20.65,0.03,0.15,0.0,0.000149,3.66
402,FTK,FLOTEK INDS INC DEL,1.69,-0.07,-3.98,0.0,0.005406,-15.5
403,FLDM,FLUIDIGM CORP,3.41,-0.07,-2.01,0.0,0.008891,-2.01
404,FFIC,FLUSHING FINANCIAL CORP,21.08,-0.08,-0.38,14.7,0.00046399999999999995,-2.43
405,FNB,FNB CORP,12.45,0.01,0.08,10.6,0.01,-1.97
406,FOR,FORESTAR GROUP INC,20.46,-0.34,-1.63,25.9,0.000299,-1.87
407,FORM,FORMFACTOR INC,26.43,-0.04,-0.15,18.9,0.0029739999999999996,1.77
408,FORR,FORRESTER RESEARCH INC,42.55,-0.07,-0.16,0.0,0.000754,2.04
409,FET,FORUM ENERGY TECH,1.8,-0.07,-3.74,0.0,0.0051259999999999995,7.14
410,FWRD,FORWARD AIR CORP,69.17,0.13,0.19,22.1,0.0006320000000000001,-1.12
411,FSTR,FOSTER L B CO,20.12,0.17,0.85,0.0,0.000215,3.82
412,FRAN,FRANCESCAS HOLDINGS COR,8.91,-0.15,-1.66,0.0,0.0009050000000000001,-14.16
413,FELE,FRANKLIN ELECTRIC CO,58.44,0.65,1.12,27.6,0.0011970000000000001,1.95
414,FSP,FRANKLIN STREET PPTYS C,7.83,-0.09,-1.14,195.8,0.002188,-8.53
415,RAIL,FREIGHTCAR AMERICA INC,1.86,-0.02,-1.06,0.0,0.001633,-10.14
416,FDP,FRESH DEL MONTE PRODUCE,34.08,-0.16,-0.47,28.4,0.0013779999999999999,-2.57
417,FRO,FRONTLINE LTD,13.14,0.42,3.3,39.8,0.015,2.18
418,FCN,FTI CONSULTING INC,114.6,1.1,0.97,20.7,0.0020629999999999997,3.56
419,FCEL,FUELCELL ENERGY INC,2.19,-0.1,-4.37,0.0,0.298,-12.75
420,FUL,FULLER H B CO,48.44,-0.35,-0.72,18.0,0.0022140000000000003,-6.07
421,GIII,G-III APPAREL GROUP LTD,31.65,-1.16,-3.54,10.9,0.007006999999999999,-5.52
422,GCAP,GAIN CAPITAL HLDNGS INC,4.16,0.1,2.46,0.0,0.001077,5.32
423,GBL,GAMCO INVESTORS INC,18.23,-0.47,-2.51,6.3,0.00011599999999999999,-6.46
424,GARS,GARRISON CAP INC,5.86,0.03,0.51,0.0,0.00023700000000000001,0.69
425,GLOG,GASLOG LTD,9.23,0.08,0.87,0.0,0.004453,-5.72
426,GNRC,GENERAC HOLDINGS INC,99.4,-0.63,-0.63,24.1,0.007508,-1.18
427,GMO,GENERAL MOLY INC,0.23,-0.0076,-3.16,0.0,0.003229,2.33
428,GCO,GENESCO INC,47.79,-0.53,-1.1,15.1,0.003561,-0.27
429,GNE,GENIE ENERGY LTD,7.49,0.02,0.27,13.1,0.001044,-3.1
430,GNMK,GENMARK DIAGNOSTICS INC,5.31,0.05,0.95,0.0,0.0029100000000000003,10.4
431,THRM,GENTHERM INC,46.0,-0.5,-1.08,39.3,0.001318,3.63
432,GEO,GEO GROUP INC,15.28,-0.39,-2.49,11.2,0.014,-8.01
433,GEOS,GEOSPACE TECHNOLOGIES,15.31,-0.47,-2.98,0.0,0.000521,-8.71
434,GABC,GERMAN AMERICAN BANCORP,35.45,0.01,0.03,16.6,0.000628,-0.48
435,GERN,GERON CORP,1.37,0.04,3.01,0.0,0.014,0.74
436,GTY,GETTY REALTY CORP,32.01,-0.13,-0.4,26.7,0.000891,-2.62
437,ROCK,GIBRALTAR INDUSTRIES IN,50.89,1.14,2.29,26.1,0.001927,0.89
438,GBCI,GLACIER BANCORP INC,44.63,0.02,0.04,19.1,0.00263,-2.53
439,GLAD,GLADSTONE CAPITAL CORP,10.03,0.025,0.25,14.8,0.001242,1.01
440,GOOD,GLADSTONE COMMERCIAL,21.02,-0.065,-0.31,,0.001524,-3.87
441,GAIN,GLADSTONE INVESTMENT,13.29,0.07,0.53,12.1,0.001973,0.3
442,GLT,GLATFELTER,17.4,-0.13,-0.74,47.0,0.001495,-4.92
443,ENT,GLOBAL EAGLE ENTMT INC,0.46,-0.0121,-2.56,0.0,0.001673,-8.0
444,GBLI,GLOBAL INDEMNITY PLC,30.2,0.15,0.5,0.0,3.8e-05,1.92
445,GSM,GLOBE SPECIALTY METALS,0.85,-0.0405,-4.55,0.0,0.005435,-9.63
446,GMED,GLOBUS MEDICAL INC,54.55,-3.97,-6.78,37.9,0.014,-7.35
447,GLUU,GLU MOBILE INC,5.75,-0.23,-3.85,0.0,0.033,-4.96
448,GORO,GOLD RESOURCE CORP,5.1,-0.09,-1.73,51.0,0.005807,-8.0
449,GBDC,GOLUB CAP BDC INC,18.22,0.04,0.22,0.0,0.007704000000000001,-1.27
450,GDP,GOODRICH PETROLEUM CORP,8.95,-0.15,-1.65,5.4,4.9e-05,-10.86
451,GRC,GORMAN RUPP CO,37.5,0.14,0.37,26.6,0.00036,0.0
452,GPX,GP STRATEGIES CORP,13.97,0.14,1.01,38.8,0.000386,5.59
453,GHM,GRAHAM CORP,21.05,0.21,1.01,0.0,0.00037200000000000004,-3.79
454,LOPE,GRAND CANYON EDUCATION,95.33,-1.01,-1.05,17.9,0.00396,-0.48
